station_complex_id,model,n_train,n_test,n_features,Train RMSE,Train R^2,Train MAE,Train MAPE,Test RMSE,Test R^2,Test MAE,Test MAPE
471,LightGBM,25797,8253,77,80.75731583378668,0.9870784465426272,49.59157423004728,96.9241091824258,196.9133930172084,0.9545853137439811,105.56717802993168,126.19168782126631
409,LightGBM,25797,8253,82,35.32191603548822,0.9854957169491888,24.147069539802743,24.617464862700004,73.21107781818243,0.954473026900552,45.10959716016757,54.9551153285441
359,LightGBM,25797,8253,77,43.21165902446583,0.9897803561007292,26.60616700456411,38.55828941680839,98.6265642943676,0.9544355262815326,50.95474748420809,35.128222513934915
179,LightGBM,25797,8253,92,36.195713438002485,0.9907318692139142,24.3234772040399,17.34731722533165,93.67730997116546,0.9543292661937932,52.4876873275737,21.334920882473185
312,LightGBM,25797,8253,82,45.89226449458452,0.9812394285487508,29.23285926483557,32.15997492502364,79.42524001329932,0.9536585891237152,46.608812031847066,25.021169554368623
329,LightGBM,25797,8253,82,23.994600715568176,0.979971535417262,16.23057668835296,39.7837727871857,42.10082873772359,0.9534999193933842,26.93076996078739,35.51503222630411
13,LightGBM,25797,8253,82,31.35750873934479,0.985240480871872,21.88088058436253,23.560533128864417,67.54784866845276,0.9534778566917996,44.28115220814535,63.636152747733775
64,LightGBM,25797,8253,82,15.054870548739505,0.9893190879355396,9.752987156652251,25.868524354402822,32.28495823954591,0.9534312764955564,17.71238437088383,34.5795605353325
243,LightGBM,25797,8253,82,23.73202084555716,0.9892904127916764,16.007116805995448,14.77800027759329,51.937042657245975,0.953418319040222,27.820891720304296,16.250358632658074
191,LightGBM,25797,8253,82,8.617788408402312,0.9898224108244634,5.626870071622236,33.847297351798204,19.285572918803865,0.9533807080558696,10.495518989957954,35.098143186163924
47,LightGBM,25797,8253,92,24.5433458168044,0.9911754304167958,15.519847896493038,26.025020546824692,60.49142739618696,0.9533253662088564,30.57709660461422,37.17978783926616
118,LightGBM,25797,8253,82,22.13727045610907,0.9780516436654654,14.902862701273293,35.08580563907318,37.39712865609739,0.953118066732898,25.263280044684414,35.81040734805925
72,LightGBM,25797,8253,82,19.58668352706544,0.9894256112532374,12.514941581910104,24.91578863383989,42.03758336952846,0.9530653330038732,23.248344075930863,23.300727479264832
289,LightGBM,25797,8253,82,25.53167535913027,0.9848414688085656,16.70389965454076,22.25372914127575,51.60973384047257,0.9530139428545156,30.375844153807417,22.13950777691822
82,LightGBM,25797,8253,82,9.827415419254075,0.9834771686883486,6.285885169749319,30.840659977652667,16.837774767375517,0.9529661041262318,9.693963343335607,34.148443051669275
175,LightGBM,25797,8253,97,27.94078236638408,0.9880397804522149,19.302668294895412,20.000094266249103,61.19422596936154,0.952878598206253,38.942266716049424,22.008986091211646
66,LightGBM,25797,8253,82,16.646401181478367,0.9897018203110272,10.936733814816542,22.202261859275087,37.6340517325288,0.9528759568031262,20.65492439437044,44.86788400986025
35,LightGBM,25797,8253,92,35.809571329448694,0.9855942569355064,21.32713293191298,16.54263514789124,74.1916466563245,0.952712906932426,42.7714957820028,20.056987130838
392,LightGBM,25797,8253,92,60.05005216192925,0.9835951230329064,37.52620366720016,12.521715139351764,116.13517076207842,0.9525972924083932,68.60795984363756,17.99845340225811
36,LightGBM,25797,8253,82,24.99814760269204,0.984094055793444,15.11596204449121,43.74760099893879,45.212788692724295,0.9523644502431624,25.62121838699787,25.752329628391067
65,LightGBM,25797,8253,82,19.42702766866321,0.9877990906175712,12.293755717686524,29.098723625971385,41.16315877063892,0.9520942961792342,22.89425649023037,41.581170468104425
68,LightGBM,25797,8253,82,20.60969090681235,0.9885050037565212,13.446898942589105,22.64245443110502,41.86142839817057,0.9520058371519224,23.46675016039577,40.76177565078552
444,LightGBM,25797,8253,82,14.272562241390837,0.9875980515086258,8.77107044669122,31.036983700190312,24.854659234094846,0.9519834360292394,13.977421571303408,84.98881776774158
273,LightGBM,25797,8253,92,45.68332215213524,0.9871106785939684,29.25425863543008,26.43190006847996,98.15312821512182,0.9518963795090764,58.286700474521766,34.32979867434269
30,LightGBM,25797,8253,82,18.11605471824665,0.9851709990908596,12.02583859410048,25.3066363553634,37.02514493335856,0.9518086294035952,20.89901683630872,30.05213473658244
69,LightGBM,25797,8253,82,14.148646269905756,0.9869008437388552,9.286136127147598,25.36457313418224,26.734676269385595,0.9517669659071628,14.720368480804751,28.763103528908147
260,LightGBM,25797,8253,82,9.991589791190387,0.986223715174962,6.849313103070188,25.934175895224325,20.60542969999581,0.9514272804549658,11.587157567758728,25.094611895929823
38,LightGBM,25797,8253,82,34.13376872265103,0.984879036400047,21.08805924164505,46.78677112021623,64.93358789825088,0.9514136885105486,36.60998279359605,21.95784859080381
255,LightGBM,25797,8253,82,20.70441365224531,0.9844627326504716,13.601198436734062,19.245199567172985,39.367427688236816,0.9509965272375762,23.76829205577074,126.08301120472125
5,LightGBM,25797,8253,82,20.66620694282144,0.980958452303279,13.797874542070932,22.62705205183654,36.55078313736198,0.9509657123789282,22.08826343295937,23.25787609761124
296,LightGBM,25797,8253,82,14.873107322968552,0.9809973739470936,9.908146934614694,28.9703479280844,24.640774747112232,0.9507739829238572,15.023588438123811,28.915717169694688
254,LightGBM,25797,8253,77,42.926114290823705,0.9937837763791092,25.48298110322784,13.526224682142256,117.20848281744036,0.9507543532678334,52.77915141899479,274.45482145358085
71,LightGBM,25797,8253,82,29.952254820117293,0.985155842600004,19.475658981372124,23.479070866160395,61.11689672292516,0.9506120676553272,38.61337628811579,26.059160216095044
20,LightGBM,25797,8253,82,18.64834706187692,0.9856110780180676,12.0380194537371,49.41078891556761,36.88767119583704,0.950230223461648,20.181268839221502,55.16301083683269
212,LightGBM,25797,8253,82,17.531476983524158,0.987033183601436,11.052154893339791,41.921456225531465,35.71295298218694,0.950197615451695,19.842621672859465,20.18965455816781
110,LightGBM,25797,8253,82,14.146660008416966,0.9874392301608906,8.953780359276898,45.0774689353443,30.53353231279533,0.950045551731874,16.188412662721472,62.318797921079614
313,LightGBM,25797,8253,92,106.23049988451908,0.9833289647196432,65.79954218085213,28.88822519175229,205.0084928506621,0.9499185080247606,113.5107843136792,21.600793208575407
381,LightGBM,25797,8253,82,24.128974476059746,0.982679699152977,16.061491505674766,16.509074077970787,44.36137838088651,0.9498375050833376,26.005348254592175,82.52578127684224
362,LightGBM,25797,8253,82,7.460475958078715,0.98468906724629,4.970047335586107,30.42698583029378,14.11798601373512,0.9495932117461294,8.062711802729696,43.8908424562933
164,LightGBM,25797,8253,87,211.2626507669345,0.9809512024579592,139.75880917770428,36.65279414515105,395.13626459515126,0.949483239831226,255.2479845593229,23.79394272608882
